Model,Training Accuracy,Testing Accuracy,Precision,Recall,F1 Score
DecisionTreeClassifier,0.9887892376681614,0.9887892376681614,0.9884068682725896,0.9887892376681614,0.9885600865602274
GradientBoostingClassifier,0.9882286995515696,0.9882286995515696,0.988168391399333,0.9882286995515696,0.988133717327068
RandomForestClassifier,0.9871076233183856,0.9871076233183856,0.9866378252206219,0.9871076233183856,0.9866726405943326
SVC,0.9815022421524664,0.9815022421524664,0.9805396785658858,0.9815022421524664,0.9803622617776802
LogisticRegression,0.9602017937219731,0.9602017937219731,0.961875770407838,0.9602017937219731,0.9535093661985795
AdaBoostClassifier,0.952914798206278,0.952914798206278,0.9468319216077065,0.952914798206278,0.9436286456867701
KNeighborsClassifier,0.9276905829596412,0.9276905829596412,0.9214545925818598,0.9276905829596412,0.9067156279753475
GaussianNB,0.4585201793721973,0.4585201793721973,0.8306762270020407,0.4585201793721973,0.5630874851782521
